file1,file2,similarity
Soutp-tech4need.csv,HOout-actionitems_planandtarget.csv,0.05882352941176457
Soutp-tech4need.csv,Routp-risks.csv,0.05555555555555544
Soutp-tech4need.csv,Coutp-teardownissues.csv,0.07692307692307683
Soutp-tech4need.csv,Routp-tech4need.csv,0.0
Soutp-tech4need.csv,HCout-actionitems_planandtarget.csv,0.07142857142857137
Soutp-tech4need.csv,HCout-issuesandmechanism.csv,0.0
Soutp-tech4need.csv,HOout-tech4need.csv,0.0
Soutp-tech4need.csv,HOout-coutermeasure4issues.csv,0.07500000000000012
Soutp-tech4need.csv,Soutp-coutermeasure4issues.csv,0.06666666666666664
Soutp-tech4need.csv,Coutp-need4cost.csv,0.0
Soutp-tech4need.csv,Soutp-teardownissues.csv,0.0
Soutp-tech4need.csv,Coutp-coutermeasure4issues.csv,0.11111111111111088
Soutp-tech4need.csv,Soutp-actionitems_planandtarget.csv,0.15384615384615366
Soutp-tech4need.csv,HCout-coutermeasure4issues.csv,0.14285714285714274
Soutp-tech4need.csv,HOout-risks.csv,0.16666666666666644
Soutp-tech4need.csv,HOout-teardownissues.csv,0.15000000000000024
Soutp-tech4need.csv,Routp-issuesandmechanism.csv,0.0465116279069768
Soutp-tech4need.csv,Routp-coutermeasure4issues.csv,0.07692307692307683
Soutp-tech4need.csv,HOout-issuesandmechanism.csv,0.0
Soutp-tech4need.csv,HCout-tech4need.csv,0.0
Soutp-tech4need.csv,Routp-actionitems_planandtarget.csv,0.07142857142857137
Soutp-tech4need.csv,Soutp-issuesandmechanism.csv,0.19999999999999962
Soutp-tech4need.csv,HCout-teardownissues.csv,0.04000000000000003
Soutp-tech4need.csv,Coutp-issuesandmechanism.csv,0.09090909090909091
Soutp-tech4need.csv,HCout-risks.csv,0.125
Soutp-tech4need.csv,Soutp-risks.csv,0.08333333333333322
Soutp-tech4need.csv,Routp-teardownissues.csv,0.0
HOout-actionitems_planandtarget.csv,Routp-risks.csv,0.05667243674769517
HOout-actionitems_planandtarget.csv,Coutp-teardownissues.csv,0.11975869887381031
HOout-actionitems_planandtarget.csv,Routp-tech4need.csv,0.014039408866995073
HOout-actionitems_planandtarget.csv,HCout-actionitems_planandtarget.csv,0.15212220729462106
